fl_date,origin_city_name,dest_city_name,crs_dep_time,delay,crs_arr_time,weather_delay,dep_hour,arr_hour,weather
2018-07-14,"Atlanta, GA","Austin, TX",1730,92.0,1850,56.0,17,18,Rainy
2018-07-14,"Atlanta, GA","Jacksonville, FL",1710,72.0,1825,57.0,17,18,Rainy
2018-07-14,"Atlanta, GA","Las Vegas, NV",1740,39.0,1855,37.0,17,19,Rainy
2018-07-14,"Atlanta, GA","Tampa, FL",1715,73.0,1845,69.0,17,18,Rainy
2018-07-14,"Atlanta, GA","Phoenix, AZ",1802,80.0,1902,5.0,18,19,Rainy
2018-07-14,"Atlanta, GA","Chicago, IL",1733,66.0,1905,32.0,17,19,Rainy
2018-07-14,"Atlanta, GA","Los Angeles, CA",1903,44.0,2100,1.0,19,21,Rainy
2018-07-14,"Atlanta, GA","Norfolk, VA",2011,91.0,2152,20.0,20,22,Rainy
2018-07-14,"Atlanta, GA","Austin, TX",2039,62.0,2156,52.0,20,22,Rainy
2018-07-14,"Atlanta, GA","Fort Lauderdale, FL",1900,40.0,2058,24.0,19,21,Rainy
2018-07-14,"Atlanta, GA","Little Rock, AR",2005,77.0,2043,6.0,20,20,Rainy
2018-07-14,"Atlanta, GA","Orlando, FL",2220,71.0,2355,5.0,22,24,Rainy
2018-07-14,"Atlanta, GA","Dallas/Fort Worth, TX",1810,18.0,1931,18.0,18,19,Rainy
2018-07-14,"Atlanta, GA","Lafayette, LA",2000,109.0,2045,12.0,20,20,Rainy
2018-07-14,"Atlanta, GA","Greer, SC",1911,38.0,2011,9.0,19,20,Rainy
2018-07-14,"Atlanta, GA","Fort Myers, FL",1955,67.0,2140,46.0,20,21,Rainy
2018-07-14,"Atlanta, GA","Kansas City, MO",1924,51.0,2037,8.0,19,20,Rainy
2018-07-14,"Atlanta, GA","Columbus, OH",2222,55.0,2359,19.0,22,24,Rainy
2018-07-14,"Atlanta, GA","Tucson, AZ",2050,73.0,2128,18.0,20,21,Rainy
2018-07-14,"Atlanta, GA","Roanoke, VA",1840,49.0,2007,37.0,18,20,Rainy
2018-07-14,"Atlanta, GA","Jacksonville, FL",1812,46.0,1929,29.0,18,19,Rainy
2018-07-14,"Atlanta, GA","Fayetteville, NC",2051,47.0,2210,22.0,21,22,Rainy
2018-07-14,"Atlanta, GA","Indianapolis, IN",2002,137.0,2137,53.0,20,21,Rainy
2018-07-14,"Atlanta, GA","Kansas City, MO",1759,30.0,1910,5.0,18,19,Rainy
2018-07-14,"Atlanta, GA","Minneapolis, MN",1811,62.0,1959,20.0,18,20,Rainy
2018-07-14,"Atlanta, GA","Valparaiso, FL",2009,43.0,2023,32.0,20,20,Rainy
2018-07-14,"Atlanta, GA","Seattle, WA",1745,25.0,2006,18.0,17,20,Rainy
2018-07-14,"Atlanta, GA","San Jose, CA",1705,24.0,1906,24.0,17,19,Rainy
2018-07-14,"Atlanta, GA","Colorado Springs, CO",2001,57.0,2106,38.0,20,21,Rainy
2018-07-14,"Atlanta, GA","Tampa, FL",1739,64.0,1912,32.0,17,19,Rainy
2018-07-14,"Atlanta, GA","Seattle, WA",1905,115.0,2131,20.0,19,21,Rainy
2018-07-14,"Atlanta, GA","Orlando, FL",2055,58.0,2226,47.0,21,22,Rainy
2018-07-14,"Atlanta, GA","New York, NY",1930,55.0,2159,16.0,19,22,Rainy
2018-07-14,"Atlanta, GA","Cleveland, OH",1833,167.0,2025,4.0,18,20,Rainy
2018-07-14,"Atlanta, GA","Savannah, GA",1928,74.0,2039,58.0,19,20,Rainy
2018-07-14,"Atlanta, GA","Jackson/Vicksburg, MS",1910,113.0,1933,99.0,19,19,Rainy
2018-07-14,"Atlanta, GA","Philadelphia, PA",1847,214.0,2100,24.0,18,21,Rainy
2018-07-14,"Atlanta, GA","Panama City, FL",1954,170.0,2002,58.0,20,20,Rainy
2018-07-14,"Atlanta, GA","Wichita, KS",2015,95.0,2129,9.0,20,21,Rainy
2018-07-14,"Atlanta, GA","Oklahoma City, OK",1700,30.0,1810,30.0,17,18,Rainy
2018-07-14,"Atlanta, GA","Salt Lake City, UT",1920,44.0,2123,22.0,19,21,Rainy
2018-07-14,"Atlanta, GA","Raleigh/Durham, NC",1916,200.0,2041,21.0,19,20,Rainy
2018-07-14,"Atlanta, GA","Boston, MA",1950,49.0,2231,21.0,20,22,Rainy
2018-07-14,"Atlanta, GA","Nashville, TN",1507,51.0,1520,33.0,15,15,Rainy
2018-07-14,"Atlanta, GA","Washington, DC",2213,20.0,2354,20.0,22,24,Rainy
2018-07-14,"Atlanta, GA","Omaha, NE",1919,44.0,2045,2.0,19,20,Rainy
2018-07-14,"Atlanta, GA","Myrtle Beach, SC",2040,58.0,2156,9.0,20,22,Rainy
2018-07-14,"Atlanta, GA","West Palm Beach/Palm Beach, FL",2021,70.0,2209,45.0,20,22,Rainy
2018-07-14,"Atlanta, GA","Savannah, GA",2044,49.0,2151,12.0,20,22,Rainy
2018-07-14,"Atlanta, GA","Washington, DC",1724,13.0,1918,11.0,17,19,Rainy
2018-07-14,"Atlanta, GA","Houston, TX",1930,58.0,2042,3.0,19,20,Rainy
2018-07-16,"Atlanta, GA","Orlando, FL",2156,20.0,2318,20.0,22,23,Rainy
2018-07-16,"Atlanta, GA","Green Bay, WI",2047,67.0,2200,37.0,20,22,Rainy
2018-07-16,"Atlanta, GA","Monroe, LA",1656,86.0,1736,11.0,17,17,Rainy
2018-07-16,"Atlanta, GA","Chattanooga, TN",2335,76.0,25,76.0,23,0,Rainy
2018-07-16,"Atlanta, GA","Albany, GA",2110,116.0,2207,95.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Roanoke, VA",2121,31.0,2255,15.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Mobile, AL",2330,490.0,2344,490.0,23,23,Rainy
2018-07-16,"Atlanta, GA","Alexandria, LA",2132,8.0,2215,8.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Denver, CO",2048,43.0,2208,43.0,20,22,Rainy
2018-07-16,"Atlanta, GA","Little Rock, AR",2236,58.0,2313,15.0,22,23,Rainy
2018-07-16,"Atlanta, GA","Melbourne, FL",2115,54.0,2248,54.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Miami, FL",2110,29.0,2300,29.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Charleston, SC",2347,62.0,55,3.0,23,1,Rainy
2018-07-16,"Atlanta, GA","Houston, TX",2156,221.0,2301,50.0,22,23,Rainy
2018-07-16,"Atlanta, GA","Chicago, IL",2110,47.0,2230,47.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Greer, SC",2154,115.0,2255,11.0,22,23,Rainy
2018-07-16,"Atlanta, GA","Nashville, TN",2159,176.0,2211,31.0,22,22,Rainy
2018-07-16,"Atlanta, GA","Norfolk, VA",2118,25.0,2300,25.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Houston, TX",2126,45.0,2230,45.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Albuquerque, NM",2017,7.0,2135,7.0,20,21,Rainy
2018-07-16,"Atlanta, GA","Panama City, FL",2246,449.0,2254,435.0,22,23,Rainy
2018-07-16,"Atlanta, GA","Dallas/Fort Worth, TX",904,52.0,1018,52.0,9,10,Rainy
2018-07-16,"Atlanta, GA","Sacramento, CA",2056,52.0,2254,28.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Kansas City, MO",2237,94.0,2348,50.0,22,23,Rainy
2018-07-16,"Atlanta, GA","San Diego, CA",2144,28.0,2310,16.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Fort Lauderdale, FL",2148,19.0,2344,19.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Newark, NJ",2117,150.0,2340,3.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Newark, NJ",2227,108.0,45,28.0,22,0,Rainy
2018-07-16,"Atlanta, GA","Charlotte, NC",750,35.0,905,5.0,8,9,Rainy
2018-07-16,"Atlanta, GA","Wichita, KS",2015,118.0,2133,70.0,20,21,Rainy
2018-07-16,"Atlanta, GA","Columbia, SC",2335,91.0,35,10.0,23,0,Rainy
2018-07-16,"Atlanta, GA","Chicago, IL",2130,35.0,2235,35.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Buffalo, NY",2143,33.0,2350,31.0,21,24,Rainy
2018-07-16,"Atlanta, GA","Raleigh/Durham, NC",1916,386.0,2044,18.0,19,20,Rainy
2018-07-16,"Atlanta, GA","Cleveland, OH",2114,70.0,2309,70.0,21,23,Rainy
2018-07-16,"Atlanta, GA","Charlotte, NC",2238,90.0,2354,79.0,22,24,Rainy
2018-07-16,"Atlanta, GA","Daytona Beach, FL",2235,95.0,2359,21.0,22,24,Rainy
2018-07-16,"Atlanta, GA","Greensboro/High Point, NC",2334,44.0,48,16.0,23,0,Rainy
2018-07-16,"Atlanta, GA","Louisville, KY",2056,33.0,2220,23.0,21,22,Rainy
2018-07-16,"Atlanta, GA","Washington, DC",2213,172.0,2359,16.0,22,24,Rainy
2018-07-16,"Atlanta, GA","Evansville, IN",2130,131.0,2149,2.0,21,21,Rainy
2018-07-16,"Atlanta, GA","Birmingham, AL",2108,53.0,2105,53.0,21,21,Rainy
