op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay,isCarrier
9E,1,0,16.0,17.0,0.0,0.0,0.5907273813352939
9E,1,1,14.0,17.0,0.0,0.0,0.5874948411060669
9E,1,2,13.0,15.0,0.0,0.0,0.6020478907791584
9E,1,3,14.0,16.0,0.0,0.0,0.5906781635982289
9E,1,4,15.0,17.0,0.0,0.0,0.5789147011881539
9E,1,5,7.0,11.0,0.0,0.0,0.7001666228185566
9E,1,6,12.0,13.0,0.0,0.0,0.6383827228664335
9K,1,0,10.0,10.0,0.0,0.0,0.84375
9K,1,1,3.0,10.0,0.0,0.0,0.8571428571428571
9K,1,2,6.0,10.0,0.0,0.0,0.8947368421052632
9K,1,3,5.0,10.0,0.0,0.0,0.8867924528301887
9K,1,4,5.0,10.0,0.0,0.0,0.8909090909090909
9K,1,5,5.0,10.0,0.0,0.0,0.8113207547169812
9K,1,6,3.0,5.0,0.0,0.0,0.8909090909090909
AA,0,0,9.0,11.0,0.0,0.0,0.688228287841191
AA,0,1,8.0,11.0,0.0,0.0,0.6971147453796038
AA,0,2,7.0,11.0,0.0,0.0,0.6904867137390179
AA,0,3,9.0,11.0,0.0,0.0,0.6759236157758373
AA,0,4,9.0,11.0,0.0,0.0,0.687036544092482
AA,0,5,9.0,10.0,0.0,0.0,0.7258215360963424
AA,0,6,9.0,11.0,0.0,0.0,0.7032124900767399
AS,0,0,6.0,10.0,0.0,0.0,0.6727603702699563
AS,0,1,5.0,10.0,0.0,0.0,0.6965000645744543
AS,0,2,5.0,10.0,0.0,0.0,0.6899146166201707
AS,0,3,6.0,11.0,0.0,0.0,0.671310064172797
AS,0,4,6.0,11.0,0.0,0.0,0.661589701369658
AS,0,5,6.0,9.0,0.0,0.0,0.7329195558357174
AS,0,6,6.0,9.0,0.0,0.0,0.7044752106355053
AX,1,0,20.0,24.0,0.0,0.0,0.5386836722416075
AX,1,1,16.0,20.0,0.0,0.0,0.5668909825033648
AX,1,2,14.0,19.0,0.0,0.0,0.5965745538284398
AX,1,3,18.0,22.0,0.0,0.0,0.5675854757487411
AX,1,4,19.0,23.0,0.0,0.0,0.5587192961016743
AX,1,5,20.0,23.0,0.0,0.0,0.5747773089545242
AX,1,6,19.0,24.0,0.0,0.0,0.5486725663716814
B6,0,0,18.0,18.0,0.0,0.0,0.6221186070231677
B6,0,1,18.0,18.0,0.0,0.0,0.6087878504381451
B6,0,2,16.0,17.0,0.0,0.0,0.6232480903354367
B6,0,3,18.0,18.0,0.0,0.0,0.6082210321897252
B6,0,4,18.0,19.0,0.0,0.0,0.6113912445564978
B6,0,5,16.0,14.0,0.0,0.0,0.6940656956925937
B6,0,6,16.0,16.0,0.0,0.0,0.6540258749483455
C5,1,0,23.0,27.0,0.0,0.0,0.5187587657784011
C5,1,1,25.0,29.0,0.0,0.0,0.4808568055321302
