op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay,isCarrier
9E,1,0,17.0,18.0,0.0,0.0,0.5869937250427838
9E,1,1,15.0,18.0,0.0,0.0,0.5859872611464968
9E,1,2,13.0,15.0,0.0,0.0,0.5910006715916722
9E,1,3,14.0,16.0,0.0,0.0,0.5995599559955995
9E,1,4,16.0,17.0,0.0,0.0,0.5741935483870968
9E,1,5,7.0,11.0,0.0,0.0,0.7013815090329437
9E,1,6,12.0,14.0,0.0,0.0,0.6370539104024298
9K,1,0,62.5,62.5,6.0,54.0,0.5
9K,1,1,3.0,10.0,0.0,0.0,1.0
9K,1,2,10.0,10.0,0.0,0.0,1.0
9K,1,3,5.0,5.0,0.0,0.0,1.0
9K,1,4,5.0,5.0,0.0,0.0,0.9090909090909091
9K,1,5,0.0,10.0,0.0,0.0,0.5
9K,1,6,10.0,11.0,5.0,0.0,1.0
AA,0,0,9.0,11.0,0.0,0.0,0.6726873321942886
AA,0,1,8.0,10.0,0.0,0.0,0.7026434734967812
AA,0,2,8.0,10.0,0.0,0.0,0.6944935418082937
AA,0,3,8.0,11.0,0.0,0.0,0.6731823599523242
AA,0,4,9.0,11.0,0.0,0.0,0.6957491780178487
AA,0,5,9.0,10.0,0.0,0.0,0.7235516372795969
AA,0,6,9.0,11.0,0.0,0.0,0.6988621670545643
AS,0,0,6.0,10.0,0.0,0.0,0.6721629485935985
AS,0,1,5.0,9.0,0.0,0.0,0.7040979244278872
AS,0,2,5.0,9.0,0.0,0.0,0.695067264573991
AS,0,3,6.0,11.0,0.0,0.0,0.6770064007877893
AS,0,4,6.0,10.0,0.0,0.0,0.6721677074041035
AS,0,5,5.0,8.0,0.0,0.0,0.732386673948662
AS,0,6,5.0,10.0,0.0,0.0,0.6964839710444675
AX,1,0,20.0,23.0,0.0,0.0,0.5689404934687954
AX,1,1,19.0,22.0,0.0,0.0,0.5434412265758092
AX,1,2,13.0,17.0,0.0,0.0,0.5719557195571956
AX,1,3,19.0,23.5,0.0,0.0,0.5485436893203883
AX,1,4,18.0,21.0,0.0,0.0,0.5553846153846154
AX,1,5,17.0,21.0,0.0,0.0,0.5758157389635317
AX,1,6,20.0,25.0,0.0,0.0,0.5697674418604651
B6,0,0,17.0,18.0,0.0,0.0,0.6213592233009708
B6,0,1,18.0,17.0,0.0,0.0,0.6152972358954941
B6,0,2,16.0,16.0,0.0,0.0,0.6343775762572135
B6,0,3,17.0,17.0,0.0,0.0,0.6132075471698113
B6,0,4,18.0,19.0,0.0,0.0,0.6130600903091351
B6,0,5,15.0,14.0,0.0,0.0,0.6781877627276973
