dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
10135,1,-6.0,0.0,0.0,0.0,0.0,0.0
10135,2,-8.0,0.0,0.0,0.0,0.0,0.0
10135,3,-6.0,0.0,0.0,0.0,0.0,0.0
10135,4,-6.0,0.0,0.0,0.0,0.0,0.0
10135,5,-6.0,0.0,0.0,0.0,0.0,0.0
10135,6,-5.0,0.0,0.0,0.0,0.0,0.0
10135,7,-5.5,0.0,0.0,0.0,0.0,0.0
10135,8,-6.0,0.0,0.0,0.0,0.0,0.0
10135,9,-8.0,0.0,0.0,0.0,0.0,0.0
10135,10,-9.0,0.0,0.0,0.0,0.0,0.0
10135,11,-9.0,0.0,0.0,0.0,0.0,0.0
10135,12,-8.0,0.0,0.0,0.0,0.0,0.0
10136,1,-3.0,0.0,0.0,0.0,0.0,0.0
10136,2,-1.0,0.0,0.0,0.0,0.0,0.0
10136,3,-3.0,0.0,0.0,0.0,0.0,0.0
10136,4,-5.0,0.0,0.0,0.0,0.0,0.0
10136,5,-2.0,0.0,0.0,0.0,0.0,0.0
10136,6,-1.0,0.0,0.0,0.0,0.0,0.0
10136,7,-1.0,0.0,0.0,0.0,0.0,0.0
10136,8,-2.0,0.0,0.0,0.0,0.0,0.0
10136,9,-4.0,0.0,0.0,0.0,0.0,0.0
10136,10,-4.0,0.0,0.0,0.0,0.0,0.0
10136,11,-4.0,0.0,0.0,0.0,0.0,0.0
10136,12,-5.0,0.0,0.0,0.0,0.0,0.0
10140,1,-7.0,0.0,0.0,0.0,0.0,0.0
10140,2,-2.0,0.0,0.0,0.0,0.0,0.0
10140,3,-4.0,0.0,0.0,0.0,0.0,0.0
10140,4,-4.0,0.0,0.0,0.0,0.0,0.0
10140,5,-4.0,0.0,0.0,0.0,0.0,0.0
10140,6,-3.0,0.0,0.0,0.0,0.0,0.0
10140,7,-3.0,0.0,0.0,0.0,0.0,0.0
10140,8,-5.0,0.0,0.0,0.0,0.0,0.0
10140,9,-7.0,0.0,0.0,0.0,0.0,0.0
10140,10,-4.0,0.0,0.0,0.0,0.0,0.0
10140,11,-5.0,0.0,0.0,0.0,0.0,0.0
10140,12,-4.0,0.0,0.0,0.0,0.0,0.0
10141,1,-15.0,0.0,0.0,0.0,0.0,0.0
10141,2,-13.0,0.0,0.0,0.0,0.0,0.0
10141,3,-7.0,0.0,0.0,0.0,0.0,0.0
10141,4,-8.0,0.0,0.0,0.0,0.0,0.0
10141,5,-9.0,0.0,0.0,0.0,0.0,0.0
10141,6,-10.0,0.0,0.0,0.0,0.0,0.0
10141,7,-12.0,0.0,0.0,0.0,0.0,0.0
10141,8,-12.0,0.0,0.0,0.0,0.0,0.0
10141,9,-12.0,0.0,0.0,0.0,0.0,0.0
10141,10,-12.0,0.0,0.0,0.0,0.0,0.0
10141,11,-11.0,0.0,0.0,0.0,0.0,0.0
10141,12,-12.0,0.0,0.0,0.0,0.0,0.0
10146,1,-6.0,0.0,0.0,0.0,0.0,0.0
10146,2,-5.0,0.0,0.0,0.0,0.0,0.0
10146,3,-6.0,0.0,0.0,0.0,0.0,0.0
10146,4,-7.0,0.0,0.0,0.0,0.0,0.0
10146,5,-7.0,0.0,0.0,0.0,0.0,0.0
10146,6,-6.0,0.0,0.0,0.0,0.0,0.0
10146,7,-4.5,0.0,0.0,0.0,0.0,0.0
10146,8,-3.0,0.0,0.0,0.0,0.0,0.0
10146,9,-7.0,0.0,0.0,0.0,0.0,0.0
10146,10,-4.0,0.0,0.0,0.0,0.0,0.0
10146,11,-5.0,0.0,0.0,0.0,0.0,0.0
10146,12,-7.0,0.0,0.0,0.0,0.0,0.0
10154,5,-13.0,0.0,0.0,0.0,0.0,0.0
10154,6,-8.0,0.0,0.0,0.0,0.0,0.0
10154,7,-9.0,0.0,0.0,0.0,0.0,0.0
10154,8,-8.0,0.0,0.0,0.0,0.0,0.0
10154,9,-15.0,0.0,0.0,0.0,0.0,0.0
10154,10,-16.0,0.0,0.0,0.0,0.0,0.0
10155,1,-5.0,0.0,0.0,0.0,0.0,0.0
10155,2,-4.0,0.0,0.0,0.0,0.0,0.0
10155,3,-5.0,0.0,0.0,0.0,0.0,0.0
10155,4,-4.0,0.0,0.0,0.0,0.0,0.0
10155,5,-4.0,0.0,0.0,0.0,0.0,0.0
10155,6,-2.0,0.0,0.0,0.0,0.0,0.0
10155,7,1.0,0.0,0.0,0.0,0.0,0.0
10155,8,-4.0,0.0,0.0,0.0,0.0,0.0
10155,9,-7.0,0.0,0.0,0.0,0.0,0.0
10155,10,-4.0,0.0,0.0,0.0,0.0,0.0
10155,11,-6.0,0.0,0.0,0.0,0.0,0.0
10155,12,-5.0,0.0,0.0,0.0,0.0,0.0
10157,1,-8.0,0.0,0.0,0.0,0.0,0.0
10157,2,-7.0,0.0,0.0,0.0,0.0,0.0
10157,3,-8.0,0.0,0.0,0.0,0.0,0.0
10157,4,-13.0,0.0,0.0,0.0,0.0,0.0
10157,5,-10.0,0.0,0.0,0.0,0.0,0.0
10157,6,-8.0,0.0,0.0,0.0,0.0,0.0
10157,7,-9.0,0.0,0.0,0.0,0.0,0.0
10157,8,-6.0,0.0,0.0,0.0,0.0,0.0
10157,9,-6.0,0.0,0.0,0.0,0.0,0.0
10157,10,-10.0,0.0,0.0,0.0,0.0,0.0
10157,11,-7.5,0.0,0.0,0.0,0.0,0.0
10157,12,-6.0,0.0,0.0,0.0,0.0,0.0
10158,1,-8.0,0.0,0.0,0.0,0.0,0.0
10158,2,-8.0,0.0,0.0,0.0,0.0,0.0
10158,3,-7.0,0.0,0.0,0.0,0.0,0.0
10158,4,-7.0,0.0,0.0,0.0,0.0,0.0
10158,5,-7.0,0.0,0.0,0.0,0.0,0.0
10158,6,-4.0,0.0,0.0,0.0,0.0,0.0
10158,7,-5.0,0.0,0.0,0.0,0.0,0.0
10158,8,-4.0,0.0,0.0,0.0,0.0,0.0
10158,9,-8.0,0.0,0.0,0.0,0.0,0.0
10158,10,-10.0,0.0,0.0,0.0,0.0,0.0
10158,11,-7.0,0.0,0.0,0.0,0.0,0.0
10158,12,-6.0,0.0,0.0,0.0,0.0,0.0
10165,1,-32.0,0.0,0.0,0.0,0.0,0.0
10165,2,-9.0,0.0,0.0,0.0,0.0,0.0
10165,3,-11.0,0.0,0.0,0.0,0.0,0.0
10165,4,-24.5,0.0,0.0,0.0,0.0,0.0
10165,5,-19.5,0.0,0.0,0.0,0.0,0.0
10165,6,-21.0,0.0,0.0,0.0,0.0,0.0
