dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10135,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,4,11.5,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
10135,5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,6,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,8,40.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
10135,9,10.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
10135,10,9.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0
10135,11,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,12,8.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0
10136,1,46.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
10136,2,45.5,5.0,11.0,5.0,0.0,0.0,0.0,0.0
10136,3,22.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0
10136,4,12.0,0.0,1.0,8.5,0.0,0.0,0.0,0.0
10136,5,15.5,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
10136,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10136,7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10136,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10136,9,11.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
10136,10,40.0,0.0,0.0,37.0,0.0,0.0,0.14285714285714285,0.0
10136,11,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10136,12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10140,1,9.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0
10140,2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10140,3,9.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0
10140,4,11.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.0
10140,5,9.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.0
10140,6,9.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0
10140,7,7.0,0.0,0.0,0.0,0.0,0.0,0.011834319526627219,0.0
10140,8,11.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.0
10140,9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10140,10,9.0,0.0,0.0,0.0,0.0,0.0,0.012738853503184714,0.0
10140,11,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176
10140,12,9.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0
10141,1,293.0,0.0,12.0,0.0,278.0,0.0,0.5,0.0
10141,2,72.0,66.0,6.0,0.0,0.0,0.0,0.0,0.0
10141,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141,4,34.0,0.0,16.5,3.0,0.0,0.0,0.0,0.0
10141,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141,8,69.5,34.5,2.5,25.5,0.0,0.0,0.0,0.0
