origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
10135,1,-3.5,-6.0,0.0,0.0,0.0,0.0,0.0
10135,2,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
10135,3,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10135,4,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
10135,5,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10135,6,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10135,7,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
10135,8,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
10135,9,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10135,10,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
10135,11,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
10135,12,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10136,1,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0
10136,2,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0
10136,3,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10136,4,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10136,5,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10136,6,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0
10136,7,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10136,8,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10136,9,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
10136,10,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
10136,11,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10136,12,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
10140,1,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
10140,2,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0
10140,3,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0
10140,4,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
10140,5,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10140,6,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0
10140,7,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10140,8,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
10140,9,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10140,10,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10140,11,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0
10140,12,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0
10141,1,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
10141,2,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0
10141,3,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
10141,4,-7.0,-12.5,0.0,0.0,0.0,0.0,0.0
10141,5,-7.0,-10.0,0.0,0.0,0.0,0.0,0.0
10141,6,-5.5,-11.0,0.0,0.0,0.0,0.0,0.0
10141,7,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10141,8,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0
10141,9,-5.0,-13.0,0.0,0.0,0.0,0.0,0.0
10141,10,-3.0,-10.0,0.0,0.0,0.0,0.0,0.0
10141,11,-2.5,-8.0,0.0,0.0,0.0,0.0,0.0
10141,12,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10146,1,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10146,2,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
10146,3,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0
10146,4,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10146,5,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
10146,6,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
10146,7,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
10146,8,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10146,9,-4.0,-11.0,0.0,0.0,0.0,0.0,0.0
10146,10,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0
10146,11,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0
10146,12,-2.0,-11.0,0.0,0.0,0.0,0.0,0.0
10154,5,-3.0,-11.0,0.0,0.0,0.0,0.0,0.0
10154,6,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
10154,7,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10154,8,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
10154,9,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0
10154,10,-8.0,-11.0,0.0,0.0,0.0,0.0,0.0
10155,1,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10155,2,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
10155,3,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10155,4,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10155,5,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
10155,6,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10155,7,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
10155,8,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0
10155,9,-8.0,-9.0,0.0,0.0,0.0,0.0,0.0
10155,10,-6.0,-5.0,0.0,0.0,0.0,0.0,0.0
10155,11,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0
10155,12,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
10157,1,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0
10157,2,-7.0,-5.0,0.0,0.0,0.0,0.0,0.0
10157,3,-3.5,0.5,0.0,0.0,0.0,0.0,0.0
10157,4,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0
10157,5,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10157,6,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
10157,7,-6.0,-5.0,0.0,0.0,0.0,0.0,0.0
10157,8,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
10157,9,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10157,10,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
10157,11,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10157,12,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
10158,1,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0
10158,2,-6.0,-13.0,0.0,0.0,0.0,0.0,0.0
10158,3,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0
10158,4,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10158,5,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10158,6,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10158,7,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10158,8,-4.0,-6.5,0.0,0.0,0.0,0.0,0.0
10158,9,-5.0,-14.0,0.0,0.0,0.0,0.0,0.0
10158,10,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0
10158,11,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10158,12,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
10165,1,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0
10165,2,2.5,-8.5,0.0,0.0,0.0,0.0,0.0
10165,3,19.5,13.0,0.0,0.0,0.0,0.0,0.0
10165,4,-8.0,-17.0,0.0,0.0,0.0,0.0,0.0
10165,5,-21.0,-26.5,0.0,0.0,0.0,0.0,0.0
10165,6,-13.0,-11.0,0.0,0.0,0.0,0.0,0.0
10165,7,7.0,4.0,0.0,0.0,0.0,0.0,0.0
10165,8,18.0,9.0,0.0,0.0,0.0,0.0,0.0
10165,9,11.0,2.0,0.0,0.0,0.0,0.0,0.0
10165,10,13.0,10.0,0.0,0.0,0.0,0.0,0.0
10165,11,19.0,17.0,0.0,0.0,0.0,0.0,0.0
10165,12,10.5,12.5,0.0,0.0,0.0,0.0,0.0
10170,1,-14.0,-12.0,0.0,0.0,0.0,0.0,0.0
10170,2,-16.0,-16.0,0.0,0.0,0.0,0.0,0.0
10170,3,-13.0,-12.0,0.0,0.0,0.0,0.0,0.0
10170,4,-15.0,-11.5,0.0,0.0,0.0,0.0,0.0
10170,5,-8.0,-7.0,0.0,0.0,0.0,0.0,0.0
10170,6,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0
10170,7,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0
10170,8,-1.5,-1.0,0.0,0.0,0.0,0.0,0.0
10170,9,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0
10170,10,-8.0,-6.0,0.0,0.0,0.0,0.0,0.0
10170,11,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0
10170,12,-7.0,-6.0,0.0,0.0,0.0,0.0,0.0
10185,1,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
10185,2,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10185,3,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
10185,4,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
10185,5,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10185,6,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10185,7,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
10185,8,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0
10185,9,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
10185,10,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
10185,11,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0
10185,12,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10208,1,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10208,2,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10208,3,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0
10208,4,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
10208,5,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
10208,6,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
10208,7,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
10208,8,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10208,9,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10208,10,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10208,11,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
10208,12,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10245,6,-8.0,-9.0,0.0,0.0,0.0,0.0,0.0
10245,7,0.0,1.5,0.0,0.0,0.0,0.0,0.0
10245,8,8.0,9.0,0.0,0.0,0.0,0.0,0.0
10257,1,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
10257,2,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
10257,3,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
10257,4,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10257,5,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
10257,6,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
10257,7,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
10257,8,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
10257,9,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
10257,10,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
10257,11,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
10257,12,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
10268,1,-3.0,1.0,0.0,0.0,0.0,0.0,0.0
10268,2,-3.0,-0.5,0.0,0.0,0.0,0.0,0.0
10268,3,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10268,4,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10268,5,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10268,6,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
10268,7,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10268,8,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10268,9,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10268,10,-5.0,-4.5,0.0,0.0,0.0,0.0,0.0
10268,11,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10268,12,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0
10275,1,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0
10275,2,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
10275,3,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
10275,4,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0
10275,5,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
10275,6,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0
10275,7,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
10275,8,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
10275,9,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0
10275,10,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
10275,11,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0
10275,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0
10279,1,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
10279,2,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10279,3,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,4,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,5,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,6,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10279,7,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
10279,8,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,9,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,10,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
10279,11,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10279,12,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
10299,1,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0
10299,2,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
10299,3,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0
10299,4,-8.0,-10.0,0.0,0.0,0.0,0.0,0.0
10299,5,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0
10299,6,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10299,7,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
10299,8,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
10299,9,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
10299,10,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0
10299,11,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
10299,12,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
10333,1,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0
10333,2,-2.0,-4.5,0.0,0.0,0.0,0.0,0.0
10333,3,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0
