tail_num,dep_delay,taxi_out,arr_delay,taxi_in
215NV,-1.0,11.0,-4.0,6.0
216NV,-3.0,12.0,-5.0,6.0
217NV,-2.0,11.0,-3.0,7.0
218NV,-2.0,11.0,-4.0,6.0
219NV,-4.0,11.0,-6.0,6.0
220NV,-1.0,11.0,-3.0,6.0
221NV,-2.0,11.0,-3.0,6.0
222NV,-2.0,11.0,-3.0,7.0
223NV,-3.0,11.0,-5.0,6.0
224NV,-2.0,11.0,-4.0,7.0
225NV,-2.0,11.0,-4.0,6.0
226NV,-1.0,11.0,-2.0,6.0
227NV,-2.0,11.0,-4.0,6.0
228NV,-2.0,11.0,-6.0,6.0
229NV,-1.0,11.0,-3.0,6.0
230NV,-3.0,11.0,-6.0,6.0
231NV,-2.0,11.0,-4.0,7.0
232NV,-4.0,11.0,-7.0,6.0
233NV,-1.0,11.0,-3.0,6.0
234NV,-2.0,11.0,-4.0,6.0
235NV,-1.0,12.0,0.0,7.0
240NV,-3.0,11.0,-4.0,6.0
241NV,-1.0,12.0,-1.0,7.0
242NV,-1.0,12.0,-2.0,7.0
243NV,-1.0,11.0,-2.0,6.0
244NV,-2.0,11.0,-2.0,7.0
245NV,-2.0,12.0,-2.0,7.0
246NV,-2.0,11.0,-3.0,6.0
247NV,-3.0,11.0,-5.0,6.0
248NV,-2.0,11.0,-4.0,6.0
249NV,-1.0,11.0,-3.0,6.0
250NV,0.0,11.0,-3.0,7.0
251NV,-2.0,11.0,-4.0,7.0
252NV,-2.0,11.0,-5.0,6.0
253NV,-2.0,10.0,-4.0,6.0
254NV,-2.0,11.0,-4.0,6.0
255NV,-1.0,11.0,-3.0,6.0
256NV,-1.0,12.0,-2.0,6.0
257NV,-3.0,10.0,-5.0,6.0
258NV,-3.0,10.0,-5.0,6.0
259NV,-1.0,11.0,-4.0,6.0
260NV,-3.0,11.0,-5.0,6.0
261NV,-2.0,11.0,-3.0,6.0
262NV,-4.0,10.0,-7.0,6.0
271NV,-2.0,12.0,-3.0,6.0
272NV,-1.0,12.0,-4.0,6.0
273NV,0.0,12.0,-2.0,6.0
274NV,-1.0,12.0,-4.0,6.0
275NV,-1.0,12.0,-2.0,6.0
276NV,-2.0,11.0,-4.0,7.0
279NV,-1.0,12.0,-2.0,6.0
280NV,17.0,13.0,13.0,7.0
282NV,0.0,12.0,3.0,6.0
283NV,5.0,13.0,9.0,7.0
301NV,-2.0,12.0,-3.0,6.0
302NV,-3.0,12.0,-5.0,6.0
303NV,-3.0,12.0,-5.0,6.0
304NV,-4.0,12.0,-6.0,6.0
305NV,-4.0,12.0,-5.0,6.0
306NV,-4.0,12.0,-6.0,6.0
307NV,-3.0,12.0,-5.0,6.0
308NV,-4.0,12.0,-6.0,6.0
309NV,-4.0,12.0,-6.0,6.0
310NV,-3.0,11.0,-5.0,6.0
311NV,-4.0,11.0,-5.0,6.0
312NV,-4.0,12.0,-6.0,6.0
313NV,-4.0,12.0,-6.0,6.0
314NV,-4.0,12.0,-5.0,6.0
315NV,-3.0,13.0,-5.0,6.0
316NV,-4.0,11.0,-5.0,6.0
317NV,-3.0,13.0,-4.0,6.0
318NV,-3.0,12.0,-5.0,6.0
319NV,-3.0,12.0,-4.0,6.0
320NV,-3.0,12.0,-5.0,6.0
321NV,-3.0,12.0,-5.0,6.0
322NV,-1.0,12.0,-3.0,6.0
323NV,-4.0,11.0,-8.0,6.0
324NV,-4.0,12.0,-7.0,6.0
325NV,-4.0,11.0,-6.0,6.0
326NV,-3.0,11.0,-5.0,6.0
327NV,-3.0,11.0,-4.0,6.0
328NV,-4.0,12.0,-6.0,6.0
329NV,-3.0,12.0,-6.0,6.0
330NV,-3.0,12.0,-5.0,6.0
331NV,-4.0,12.0,-7.0,6.0
332NV,-3.0,12.0,-5.0,6.0
333NV,-4.0,12.0,-5.0,6.0
334NV,-4.0,12.0,-5.0,6.0
335NV,-4.0,12.0,-5.0,6.0
336NV,-3.0,12.0,-5.0,6.0
337NV,-3.0,13.0,-3.0,6.0
402NV,0.0,12.0,1.0,6.0
403NV,-1.0,13.0,-3.0,5.0
404NV,0.0,12.0,-3.0,6.0
406NV,0.0,12.0,-1.5,6.5
407NV,-1.0,13.0,-2.0,6.0
409NV,-1.0,13.0,-4.0,6.0
410NV,-2.0,13.0,-6.0,6.0
412NV,0.0,13.0,-3.0,6.0
414NV,-1.0,13.0,-5.0,6.0
415NV,0.0,12.0,-1.0,6.0
417NV,0.0,12.0,-2.0,6.0
418NV,0.0,12.0,-2.0,6.0
419NV,-2.0,12.0,-6.0,6.0
420NV,-2.0,12.0,-6.0,6.0
423NV,-1.0,12.0,-4.0,6.0
424NV,-2.0,12.0,-5.0,6.0
426NV,-1.0,12.0,-4.0,6.0
427NV,-2.0,13.0,-3.0,6.0
429NV,-1.0,12.0,-3.0,7.0
861GA,-2.0,12.0,-5.0,6.0
862GA,-4.0,12.0,-6.5,6.0
863GA,-1.0,12.0,-4.0,6.0
864GA,-1.0,13.0,-3.0,6.0
865GA,-5.0,12.0,-9.5,5.0
866GA,-2.0,12.0,-5.0,6.0
869GA,0.0,12.0,-3.0,6.0
871GA,-2.0,12.0,-6.0,6.0
872GA,-1.0,12.0,-4.0,6.0
876GA,-1.0,12.0,-2.0,6.0
877GA,-1.0,12.0,-4.0,6.0
878GA,0.0,12.0,-3.0,6.0
8805,2.5,21.5,4.5,7.0
8809,0.0,19.5,0.5,7.0
881GA,-1.0,12.0,-5.0,6.0
883GA,-2.0,13.0,-5.0,6.0
884GA,-5.0,13.0,-7.0,6.0
886GA,-2.0,13.0,-6.0,6.0
887GA,-1.0,12.0,-4.0,6.0
891GA,-1.0,12.0,-4.0,6.0
N10156,-4.0,18.0,-6.0,6.0
N101DU,0.0,18.0,0.0,7.0
N101HQ,-5.0,18.0,-8.0,7.0
N101NK,3.5,15.0,-9.0,10.0
N101NN,-3.0,20.0,-12.0,9.0
N102DU,1.0,18.0,1.0,8.0
N102HQ,-5.0,17.0,-7.0,7.0
N102NN,-4.0,19.0,-11.0,8.0
N102UW,-3.0,16.0,-6.0,6.0
N103DU,0.0,18.0,-1.0,8.0
N103HQ,-5.0,17.0,-8.0,7.0
N103NN,-4.0,19.0,-13.0,9.0
N103SY,-3.0,18.0,-6.0,7.0
N103US,-2.0,15.0,-6.0,6.0
N104DU,0.0,18.0,-1.0,7.0
N104HQ,-5.0,17.0,-8.0,7.0
N104NN,-3.0,20.0,-11.0,9.0
N104UW,-2.0,16.0,-6.0,6.0
N10575,-5.0,17.0,-7.0,7.0
N105DU,0.0,18.0,0.0,7.0
N105HQ,-4.0,17.0,-6.0,7.0
N105NN,-3.0,20.0,-12.0,9.0
N105SY,-3.0,18.0,-6.0,7.0
N105UW,-2.0,16.0,-6.0,6.0
N106DU,-1.0,18.0,-3.0,7.0
N106HQ,-5.0,17.0,-8.0,7.0
N106NN,-4.0,20.0,-13.0,9.0
N106SY,-3.0,18.0,-6.0,7.0
N107DU,0.0,18.0,1.0,7.0
N107HQ,-5.0,17.0,-7.0,7.0
N107NN,-4.0,19.0,-13.0,9.0
N107SY,-3.0,18.0,-5.0,7.0
N107US,-2.0,15.0,-7.0,6.0
N108DQ,-1.0,17.0,-1.0,7.0
N108HQ,-5.0,17.0,-8.0,7.0
N108NN,-3.0,20.0,-11.0,9.0
N108SY,-3.0,18.0,-6.0,6.0
N108UW,-3.0,15.0,-7.0,6.0
N109DU,-1.0,18.0,-2.0,7.0
N109HQ,-5.0,17.0,-8.0,7.0
N109NN,-4.0,20.0,-14.0,9.0
N109SY,-3.0,18.0,-6.0,7.0
N109UW,-2.0,16.0,-6.0,6.0
N110AN,-3.0,20.0,-11.0,9.0
N110DU,-1.0,17.5,-2.0,7.0
