tail_num,dep_delay,arr_delay,isCraft,isCarrier
215NV,13.0,14.0,0.21777221526908636,0.655819774718398
216NV,13.0,15.0,0.21830065359477124,0.6261437908496732
217NV,12.0,14.0,0.2304878048780488,0.6548780487804878
218NV,13.0,15.0,0.23170731707317074,0.6414634146341464
219NV,14.0,15.0,0.21727395411605938,0.6423751686909581
220NV,15.0,15.0,0.24167694204685575,0.6325524044389642
221NV,15.0,15.0,0.21166032953105196,0.6653992395437263
222NV,14.0,17.0,0.2552204176334107,0.5974477958236659
223NV,12.0,14.0,0.22183098591549297,0.6396713615023474
224NV,15.0,19.0,0.28343949044585987,0.5636942675159236
225NV,17.0,18.0,0.2683229813664596,0.6173913043478261
226NV,17.0,19.0,0.2810539523212045,0.5809284818067754
227NV,16.0,18.0,0.24142156862745098,0.6029411764705882
228NV,16.0,15.0,0.21328224776500637,0.6794380587484036
229NV,17.0,18.0,0.26322115384615385,0.6045673076923077
230NV,12.0,13.0,0.20759193357058126,0.6571767497034401
231NV,14.0,16.0,0.25638297872340426,0.6063829787234043
232NV,14.0,15.0,0.22341696535244923,0.6224611708482676
233NV,15.0,16.0,0.2599164926931106,0.6242171189979123
234NV,13.0,14.0,0.23935558112773303,0.6421173762945915
235NV,17.0,21.0,0.2898330804248862,0.5477996965098634
240NV,13.0,15.0,0.23579545454545456,0.6363636363636364
241NV,17.0,23.0,0.2936170212765957,0.5333333333333333
242NV,19.0,22.0,0.3162162162162162,0.5243243243243243
243NV,20.0,23.0,0.2922077922077922,0.5227272727272727
244NV,10.0,14.0,0.1910828025477707,0.6815286624203821
245NV,15.0,19.0,0.2669172932330827,0.5714285714285714
246NV,11.0,13.0,0.2059732234809475,0.6477857878475798
247NV,10.0,12.0,0.20935412026726058,0.6269487750556793
248NV,10.0,11.0,0.18504672897196262,0.6654205607476635
249NV,14.0,14.0,0.24878048780487805,0.6107317073170732
250NV,13.0,13.0,0.23796296296296296,0.6324074074074074
251NV,10.0,11.0,0.19681349578256796,0.6644798500468604
252NV,11.0,13.0,0.2010752688172043,0.6408602150537634
253NV,11.0,13.0,0.20272904483430798,0.6286549707602339
254NV,11.0,13.0,0.24779627815866798,0.6052889324191969
255NV,12.0,13.0,0.2271880819366853,0.6461824953445066
256NV,11.0,12.0,0.21693735498839908,0.648491879350348
257NV,9.0,11.0,0.19457013574660634,0.6681749622926093
258NV,12.5,14.0,0.21044776119402986,0.6298507462686567
259NV,12.0,13.0,0.21730382293762576,0.6519114688128773
260NV,10.0,13.0,0.19343696027633853,0.6286701208981001
261NV,15.0,16.0,0.24054054054054055,0.5932432432432433
262NV,14.0,15.0,0.21693121693121692,0.6490299823633157
271NV,12.0,13.0,0.19330855018587362,0.6598513011152416
272NV,12.0,13.0,0.21187800963081863,0.6532905296950241
273NV,12.0,13.0,0.1918876755070203,0.6692667706708268
274NV,13.0,15.0,0.21631878557874762,0.6451612903225806
275NV,8.0,9.0,0.10576923076923077,0.7980769230769231
276NV,9.0,11.0,0.18201284796573874,0.6595289079229122
279NV,13.0,15.0,0.15894039735099338,0.7218543046357616
280NV,32.0,31.0,0.3076923076923077,0.5846153846153846
282NV,15.0,17.5,0.24603174603174602,0.5873015873015873
283NV,22.0,30.5,0.375,0.5178571428571429
301NV,11.5,13.0,0.19648093841642228,0.6891495601173021
302NV,10.0,14.0,0.19788519637462235,0.6691842900302115
303NV,10.0,13.0,0.21333333333333335,0.6413333333333333
304NV,11.0,12.0,0.19970193740685543,0.6631892697466468
305NV,9.0,12.0,0.19130434782608696,0.672463768115942
