tail_num,arr_hour,arr_delay,carrier_delay,late_aircraft_delay,isCraft,isCarrier
215NV,9,19.5,19.0,0.0,0.0,1.0
215NV,11,42.5,30.5,0.0,0.0,0.5
215NV,12,20.5,0.0,0.0,0.0,0.5
215NV,13,4.0,0.0,0.0,0.0,1.0
215NV,14,17.0,0.0,0.0,0.2,0.4
215NV,15,20.5,2.5,0.0,0.2,0.7
215NV,16,46.0,0.0,17.0,0.4,0.6
215NV,17,48.5,0.0,48.0,0.5,0.5
215NV,18,3.0,0.0,0.0,0.0,1.0
215NV,19,9.0,0.0,0.0,0.14285714285714285,0.7142857142857143
215NV,20,15.0,0.0,0.0,0.42857142857142855,0.5714285714285714
215NV,21,1.0,0.0,0.0,0.0,1.0
215NV,22,23.0,0.0,0.0,0.25,0.625
215NV,23,58.5,0.0,31.0,0.5,0.5
215NV,24,129.0,0.0,129.0,1.0,0.0
216NV,7,11.0,0.0,0.0,0.0,1.0
216NV,8,11.5,0.0,0.0,0.0,1.0
216NV,10,11.0,0.0,0.0,0.0,1.0
216NV,11,26.0,0.0,0.0,0.25,0.5
216NV,12,7.0,0.0,0.0,0.2,0.8
216NV,13,-4.0,0.0,0.0,0.0,1.0
216NV,14,18.5,0.0,0.0,0.3,0.5
216NV,15,68.5,11.5,48.0,0.5,0.0
216NV,16,38.0,0.0,0.0,0.0,0.8
216NV,17,9.0,0.0,0.0,0.14285714285714285,0.7142857142857143
216NV,18,11.0,0.0,0.0,0.0,0.6666666666666666
216NV,19,10.0,0.0,0.0,0.42857142857142855,0.5714285714285714
216NV,20,40.5,0.0,0.0,0.16666666666666666,0.8333333333333334
216NV,21,23.0,0.0,0.0,0.0,0.3333333333333333
216NV,23,20.0,5.0,15.0,1.0,0.0
217NV,7,15.0,15.0,0.0,0.0,1.0
217NV,8,29.0,15.0,0.0,0.0,0.75
217NV,9,13.0,8.5,0.0,0.0,1.0
217NV,10,12.0,0.0,0.0,0.0,1.0
217NV,11,25.0,3.5,14.0,0.5,0.5
217NV,12,9.0,0.0,0.0,0.14285714285714285,0.8571428571428571
217NV,13,9.5,0.0,0.0,0.0,0.75
217NV,14,52.0,0.0,0.0,0.0,0.6666666666666666
217NV,15,16.0,0.0,10.0,0.3333333333333333,0.3333333333333333
217NV,16,32.5,0.0,5.5,0.25,0.625
217NV,17,14.0,0.0,0.0,0.3333333333333333,0.6666666666666666
217NV,18,49.0,6.0,24.0,0.6,0.4
217NV,19,35.5,0.0,30.5,0.75,0.125
217NV,20,76.0,25.0,3.0,0.3333333333333333,0.6666666666666666
217NV,21,-12.0,0.0,0.0,0.0,1.0
217NV,22,23.0,0.0,12.0,1.0,0.0
217NV,23,109.0,0.0,0.0,0.0,0.0
218NV,9,43.0,40.5,0.0,0.0,1.0
218NV,10,11.0,0.0,0.0,0.0,1.0
218NV,11,40.0,4.0,0.0,0.4,0.4
218NV,12,20.5,4.0,0.0,0.16666666666666666,0.6666666666666666
218NV,13,43.0,0.0,0.0,0.3333333333333333,0.3333333333333333
218NV,14,19.5,0.0,0.0,0.16666666666666666,0.5
218NV,15,28.0,6.0,17.0,0.5,0.5
218NV,16,7.0,0.0,0.0,0.0,0.6666666666666666
218NV,17,17.5,2.0,7.5,0.5,0.5
218NV,18,50.0,0.0,0.0,0.2857142857142857,0.5714285714285714
218NV,19,15.5,2.0,7.5,0.5,0.0
218NV,20,27.5,0.0,9.5,0.25,0.375
218NV,21,2.0,0.0,0.0,0.0,1.0
218NV,22,48.5,0.0,35.5,0.75,0.25
218NV,23,41.0,0.0,0.0,0.25,0.75
219NV,8,4.0,0.0,0.0,0.0,1.0
219NV,9,6.0,0.0,0.0,0.0,1.0
219NV,10,13.0,0.0,0.0,0.0,1.0
219NV,11,11.0,0.0,0.0,0.0,1.0
219NV,12,7.0,0.0,0.0,0.0,0.6666666666666666
219NV,13,18.0,0.0,0.0,0.0,0.4
219NV,14,6.0,0.0,0.0,0.0,0.8
219NV,15,39.0,0.0,13.0,0.0,0.0
219NV,16,48.0,6.0,2.0,0.25,0.5
219NV,17,17.0,0.0,0.0,0.4,0.4
219NV,18,5.0,0.0,0.0,0.0,0.7142857142857143
219NV,19,58.5,0.0,0.0,0.25,0.25
219NV,20,19.0,0.0,8.5,0.375,0.625
219NV,21,63.0,0.0,0.0,0.4,0.6
219NV,22,47.0,0.0,16.5,0.25,0.75
219NV,23,2.5,0.0,0.0,0.0,1.0
220NV,9,2.0,0.0,0.0,0.0,1.0
220NV,10,13.0,0.0,0.0,0.0,0.6666666666666666
220NV,11,8.5,0.0,0.0,0.0,0.875
220NV,12,22.0,7.0,0.0,0.42857142857142855,0.5714285714285714
220NV,13,17.0,0.0,0.0,0.25,0.75
220NV,14,41.5,8.0,14.0,0.0,0.0
220NV,15,5.0,0.0,0.0,0.3333333333333333,0.6666666666666666
220NV,16,30.0,0.0,0.0,0.3333333333333333,0.6666666666666666
220NV,17,2.0,0.0,0.0,0.0,1.0
220NV,18,15.0,15.0,0.0,0.0,1.0
220NV,19,12.0,0.0,0.0,0.0,1.0
220NV,20,11.0,0.0,0.0,0.14285714285714285,0.7142857142857143
220NV,21,4.5,0.0,0.0,0.16666666666666666,0.6666666666666666
220NV,22,81.0,0.0,29.0,0.5714285714285714,0.14285714285714285
221NV,8,2.0,0.0,0.0,0.0,1.0
221NV,9,15.0,0.0,0.0,0.0,0.6666666666666666
221NV,10,5.0,0.0,0.0,0.0,1.0
221NV,11,1.0,0.0,0.0,0.0,0.75
221NV,12,-7.0,0.0,0.0,0.0,1.0
221NV,13,3.5,0.0,0.0,0.0,1.0
221NV,14,18.0,0.0,0.0,0.0,0.3333333333333333
221NV,15,0.0,0.0,0.0,0.0,1.0
221NV,16,13.0,0.0,0.0,0.0,0.75
221NV,17,14.0,0.0,0.0,0.14285714285714285,0.7142857142857143
221NV,18,19.5,0.0,6.5,0.25,0.25
221NV,19,14.0,0.0,0.0,0.14285714285714285,0.7142857142857143
221NV,20,24.0,0.0,19.0,0.5,0.5
221NV,21,37.0,0.0,16.5,0.5,0.5
221NV,22,74.5,9.0,33.0,0.5,0.5
221NV,23,70.0,0.0,34.0,0.6,0.4
222NV,8,4.0,0.0,0.0,0.0,1.0
222NV,9,28.0,0.0,0.0,0.3333333333333333,0.6666666666666666
222NV,10,36.0,14.0,4.5,0.0,0.75
222NV,11,4.0,0.0,0.0,0.0,0.8333333333333334
222NV,12,15.0,0.0,0.0,0.3333333333333333,0.3333333333333333
222NV,13,8.0,0.0,0.0,0.0,0.8888888888888888
222NV,14,10.0,0.0,0.0,0.14285714285714285,0.7142857142857143
222NV,15,57.0,0.0,50.0,0.5,0.5
222NV,16,9.0,0.0,0.0,0.0,0.6666666666666666
222NV,17,25.0,0.0,13.0,0.2857142857142857,0.2857142857142857
222NV,18,7.5,0.0,0.0,0.0,1.0
222NV,19,33.0,0.0,0.0,0.125,0.5
222NV,20,28.0,0.0,0.0,0.2222222222222222,0.7777777777777778
222NV,21,50.0,0.0,32.5,0.75,0.0
222NV,22,159.0,0.0,159.0,1.0,0.0
222NV,23,69.0,0.0,16.0,0.5,0.25
223NV,9,16.0,0.0,0.0,0.0,0.5
223NV,10,10.0,0.0,0.0,0.0,1.0
223NV,11,25.0,0.0,0.0,0.2,0.2
223NV,12,8.0,0.0,0.0,0.0,0.8571428571428571
223NV,13,98.0,98.0,0.0,0.3333333333333333,0.6666666666666666
223NV,14,7.0,0.0,0.0,0.25,0.5
223NV,15,7.0,0.0,0.0,0.0,0.8
223NV,16,122.5,117.0,0.0,0.0,1.0
223NV,17,17.5,0.0,3.5,0.25,0.5
223NV,18,14.0,0.0,0.0,0.16666666666666666,0.5
223NV,19,92.0,7.5,8.0,0.5,0.0
223NV,20,1.5,0.0,0.0,0.125,0.875
223NV,21,5.0,0.0,0.0,0.2222222222222222,0.6666666666666666
223NV,22,3.0,0.0,0.0,0.3333333333333333,0.6666666666666666
223NV,23,10.0,0.0,0.0,0.0,0.8333333333333334
224NV,8,1.0,0.0,0.0,0.0,1.0
224NV,9,233.0,233.0,0.0,0.0,1.0
224NV,10,27.0,0.0,0.0,0.0,0.3333333333333333
224NV,11,24.0,0.0,0.0,0.0,0.3333333333333333
