tail_num,dep_hour,dep_delay,carrier_delay,late_aircraft_delay,isCraft,isCarrier
215NV,7,31.0,19.0,0.0,0.0,1.0
215NV,8,7.0,7.0,0.0,0.0,0.0
215NV,9,34.0,27.0,0.0,0.0,1.0
215NV,10,0.0,0.0,0.0,0.0,0.6666666666666666
215NV,11,5.0,0.0,0.0,0.25,0.75
215NV,12,11.0,0.0,0.0,0.0,0.6666666666666666
215NV,13,15.0,0.0,5.0,0.3333333333333333,0.5555555555555556
215NV,14,30.0,14.5,0.0,0.0,1.0
215NV,15,11.0,0.0,0.0,0.2,0.8
215NV,16,38.0,0.0,32.0,1.0,0.0
215NV,17,11.0,0.0,0.0,0.0,1.0
215NV,18,46.0,9.5,35.5,0.5,0.5
215NV,19,12.0,0.0,0.0,0.25,0.5
215NV,20,11.0,0.0,0.0,0.2,0.6
215NV,21,45.0,0.0,0.0,0.4,0.6
216NV,6,20.0,0.0,0.0,0.0,1.0
216NV,7,14.0,0.0,0.0,0.0,1.0
216NV,8,-9.0,0.0,0.0,0.0,1.0
216NV,9,-9.0,0.0,0.0,0.0,0.0
216NV,10,22.0,0.0,0.0,0.25,0.75
216NV,11,27.5,0.0,0.0,0.25,0.5
216NV,12,37.0,2.5,5.5,0.5,0.3333333333333333
216NV,13,0.0,0.0,0.0,0.0,0.0
216NV,14,30.5,8.5,0.0,0.0,0.8333333333333334
216NV,15,5.0,0.0,0.0,0.0,0.6
216NV,16,11.0,0.0,0.0,0.3333333333333333,0.6666666666666666
216NV,17,9.0,0.0,0.0,0.2222222222222222,0.7777777777777778
216NV,18,70.0,31.0,22.0,0.5,0.5
216NV,19,12.0,0.0,0.0,0.0,0.6666666666666666
216NV,20,74.5,2.5,7.5,0.5,0.0
217NV,6,152.0,152.0,0.0,0.0,1.0
217NV,7,17.0,0.0,0.0,0.0,0.8
217NV,8,5.0,0.0,0.0,0.0,1.0
217NV,9,11.0,0.0,0.0,0.4,0.6
217NV,10,0.0,0.0,0.0,0.0,0.875
217NV,11,32.0,0.0,0.0,0.0,0.5
217NV,12,54.0,0.0,50.0,1.0,0.0
217NV,13,16.0,0.0,5.0,0.3333333333333333,0.5
217NV,14,26.0,0.0,0.0,0.14285714285714285,0.7142857142857143
217NV,15,46.0,6.0,31.0,0.6666666666666666,0.3333333333333333
217NV,16,38.5,0.0,22.0,0.6,0.4
217NV,17,39.0,0.0,34.0,1.0,0.0
217NV,18,14.5,0.0,0.0,0.0,0.75
217NV,20,12.0,0.0,12.0,1.0,0.0
217NV,21,23.0,0.0,0.0,0.0,0.0
218NV,6,0.0,0.0,0.0,0.0,1.0
218NV,7,14.0,14.0,0.0,0.0,1.0
218NV,8,381.0,22.0,21.0,0.5,0.0
218NV,9,43.0,17.0,0.0,0.3333333333333333,0.6666666666666666
218NV,10,5.0,0.0,0.0,0.4,0.4
218NV,11,15.0,0.0,0.0,0.0,0.75
218NV,12,48.5,0.0,0.0,0.25,0.25
218NV,13,20.5,6.0,17.0,0.5,0.5
218NV,14,12.0,0.0,0.0,0.3333333333333333,0.3333333333333333
218NV,15,6.5,0.0,4.0,0.3333333333333333,0.5
218NV,16,40.5,0.0,5.5,0.3333333333333333,0.5
218NV,17,4.0,4.0,0.0,0.0,0.6666666666666666
218NV,18,27.0,0.0,9.0,0.25,0.5
218NV,20,84.0,0.0,82.0,1.0,0.0
218NV,21,49.0,0.0,0.0,0.25,0.75
219NV,6,0.5,0.0,0.0,0.0,1.0
219NV,7,-2.0,0.0,0.0,0.0,1.0
219NV,8,18.0,0.0,0.0,0.0,1.0
219NV,9,-0.5,0.0,0.0,0.0,0.8333333333333334
219NV,10,2.5,0.0,0.0,0.0,1.0
219NV,11,-5.0,0.0,0.0,0.0,0.5
219NV,12,-2.0,0.0,0.0,0.0,0.6666666666666666
219NV,13,14.0,0.0,4.0,0.2,0.6
219NV,14,77.0,0.0,0.0,0.3333333333333333,0.3333333333333333
219NV,15,12.5,0.0,0.0,0.16666666666666666,0.3333333333333333
219NV,16,7.0,0.0,0.0,0.0,0.8571428571428571
219NV,17,130.5,0.0,29.0,0.25,0.5
219NV,18,16.5,0.0,0.0,0.375,0.625
