op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay
9E,1,0,-4.0,-9.0,0.0,0.0
9E,1,1,-4.0,-10.0,0.0,0.0
9E,1,2,-4.0,-11.0,0.0,0.0
9E,1,3,-4.0,-9.0,0.0,0.0
9E,1,4,-3.0,-8.0,0.0,0.0
9E,1,5,-4.0,-11.0,0.0,0.0
9E,1,6,-4.0,-11.0,0.0,0.0
9K,1,0,-10.0,-5.0,0.0,0.0
9K,1,1,-5.0,-8.0,0.0,0.0
9K,1,2,-5.0,-5.0,0.0,0.0
9K,1,3,-5.0,-5.0,0.0,0.0
9K,1,4,-5.0,-2.5,0.0,0.0
9K,1,5,-5.0,-5.0,0.0,0.0
9K,1,6,-3.5,-2.0,0.0,0.0
AA,0,0,-2.0,-5.0,0.0,0.0
AA,0,1,-3.0,-6.0,0.0,0.0
AA,0,2,-2.0,-5.0,0.0,0.0
AA,0,3,-2.0,-4.0,0.0,0.0
AA,0,4,-2.0,-4.0,0.0,0.0
AA,0,5,-2.0,-7.0,0.0,0.0
AA,0,6,-2.0,-5.0,0.0,0.0
AS,0,0,-4.0,-6.0,0.0,0.0
AS,0,1,-5.0,-7.0,0.0,0.0
AS,0,2,-5.0,-6.0,0.0,0.0
AS,0,3,-4.0,-5.0,0.0,0.0
AS,0,4,-4.0,-5.0,0.0,0.0
AS,0,5,-4.0,-8.0,0.0,0.0
AS,0,6,-4.0,-7.0,0.0,0.0
AX,1,0,-4.0,-3.0,0.0,0.0
AX,1,1,-4.0,-5.0,0.0,0.0
AX,1,2,-5.0,-6.0,0.0,0.0
AX,1,3,-4.0,-5.0,0.0,0.0
AX,1,4,-4.0,-3.0,0.0,0.0
AX,1,5,-4.0,-5.0,0.0,0.0
AX,1,6,-4.0,-4.0,0.0,0.0
B6,0,0,-2.0,-5.0,0.0,0.0
B6,0,1,-2.0,-5.0,0.0,0.0
B6,0,2,-3.0,-6.0,0.0,0.0
B6,0,3,-2.0,-4.0,0.0,0.0
B6,0,4,-2.0,-4.0,0.0,0.0
B6,0,5,-3.0,-8.0,0.0,0.0
B6,0,6,-2.0,-6.0,0.0,0.0
C5,1,0,-2.0,-3.0,0.0,0.0
C5,1,1,-2.0,0.0,0.0,0.0
C5,1,2,-2.0,0.0,0.0,0.0
C5,1,3,-1.0,3.0,0.0,0.0
C5,1,4,-1.0,3.0,0.0,0.0
C5,1,5,-3.0,-6.0,0.0,0.0
C5,1,6,-2.0,-2.0,0.0,0.0
CP,1,0,-4.0,-6.0,0.0,0.0
CP,1,1,-4.0,-8.0,0.0,0.0
CP,1,2,-4.0,-7.0,0.0,0.0
CP,1,3,-3.0,-5.0,0.0,0.0
CP,1,4,-3.0,-5.0,0.0,0.0
CP,1,5,-4.0,-9.0,0.0,0.0
CP,1,6,-4.0,-7.0,0.0,0.0
DL,0,0,-2.0,-8.0,0.0,0.0
DL,0,1,-2.0,-9.0,0.0,0.0
DL,0,2,-2.0,-9.0,0.0,0.0
DL,0,3,-2.0,-8.0,0.0,0.0
DL,0,4,-2.0,-7.0,0.0,0.0
DL,0,5,-2.0,-9.0,0.0,0.0
DL,0,6,-2.0,-9.0,0.0,0.0
EM,1,0,-3.0,-2.0,0.0,0.0
EM,1,1,-5.0,-4.0,0.0,0.0
EM,1,2,-4.0,-3.0,0.0,0.0
EM,1,3,-4.0,-3.0,0.0,0.0
EM,1,4,0.0,3.0,0.0,0.0
EM,1,5,-5.0,-5.0,0.0,0.0
EM,1,6,-6.0,-6.0,0.0,0.0
EV,1,0,-4.0,-5.0,0.0,0.0
EV,1,1,-4.0,-6.0,0.0,0.0
EV,1,2,-4.0,-6.0,0.0,0.0
EV,1,3,-4.0,-6.0,0.0,0.0
EV,1,4,-4.0,-5.0,0.0,0.0
EV,1,5,-4.0,-8.0,0.0,0.0
EV,1,6,-4.0,-7.0,0.0,0.0
F9,0,0,-1.0,-3.0,0.0,0.0
