mkt_unique_carrier,avg_distance_per_month_by_carrier,avg_dep_delay_by_carrier,total_gallons,passengers_by_carrier_per_month,monthly_distance_per_passenger,avgfuel_percustomer_perdistance
AA,90017205.54166667,1280472.8333333333,529073.8350694444,12697772.041666666,0.14105938931629233,3750716.897569444
AS,26563574.041666668,97698.04166666667,121682.671875,2920384.125,0.10993942759431356,1106815.5850694445
B6,20698986.625,315694.4583333333,147726.59375,3545438.25,0.17128559548503983,862457.7760416667
DL,77409761.33333333,985920.1666666666,547151.2065972222,13131628.958333334,0.16963789491337364,3225406.722222222
F9,8300151.333333333,135260.04166666666,74017.15972222222,1776411.8333333333,0.21402161984677068,345839.6388888889
G4,5590348.333333333,70820.95833333333,50294.07638888888,1207057.8333333333,0.21591817921900514,232931.18055555553
HA,3834540.7083333335,7540.958333333333,40230.289930555555,965526.9583333334,0.2517972898905526,159772.5295138889
NK,12147801.041666666,120669.29166666667,110778.81770833333,2658691.625,0.2188619665304652,506158.37673611107
UA,76630758.0,1183107.5416666667,400019.2395833333,9600461.75,0.12528209299456491,3192948.25
VX,6462747.666666667,26972.0,3576.984375,85847.625,0.01328345611306811,269281.1527777778
WN,63562918.333333336,904517.25,581150.1961805556,13947604.708333334,0.21942989834403187,2648454.930555556
