mkt_unique_carrier,avg_distance_per_month_by_carrier,avg_dep_delay_by_carrier,total_gallons,passengers_by_carrier_per_month,monthly_distance_per_passenger,avgfuel_percustomer_perdistance
AA,119806218.20833333,1732354.625,529073.8350694444,12697772.041666666,0.10598591818987448,4991925.758680555
AS,34933911.083333336,129033.58333333333,121682.671875,2920384.125,0.08359739961648009,1455579.6284722225
B6,27338345.458333332,414630.5,147726.59375,3545438.25,0.12968737465855937,1139097.7274305555
DL,101480154.66666667,1347398.1666666667,547151.2065972222,13131628.958333334,0.12940095530467988,4228339.777777778
F9,10992847.5,177585.75,74017.15972222222,1776411.8333333333,0.16159705966387083,458035.3125
G4,7346379.625,95564.04166666667,50294.07638888888,1207057.8333333333,0.16430648767804906,306099.1510416667
HA,5039177.791666667,11692.583333333334,40230.289930555555,965526.9583333334,0.19160406682416203,209965.74131944447
NK,15995660.125,163555.16666666666,110778.81770833333,2658691.625,0.1662133106244654,666485.8385416666
UA,101368629.375,1625397.5416666667,400019.2395833333,9600461.75,0.09470841037501204,4223692.890625
VX,8621435.333333334,36393.666666666664,3576.984375,85847.625,0.009957463192710448,359226.47222222225
WN,84282361.5,1183564.0416666667,581150.1961805556,13947604.708333334,0.1654866387237303,3511765.0625
